"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ZI000067853","1962-08-29","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","    0",",,Q","  246",",,Q","   34",",,Q"
"ZI000067853","1962-08-30","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","    0",",,Q","  269",",,Q","    6",",,Q"
"ZI000067853","1962-08-31","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","    0",",,Q","  287",",,Q","    6",",,Q"
"ZI000067853","1962-09-01","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","    0",",,Q","  303",",,Q","   24",",,Q"
"ZI000067853","1962-09-02","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","    0",",,Q","  313",",,Q","  126",",,Q"
"ZI000067853","1962-09-03","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","    0",",,Q","  317",",,Q","   88",",,Q"
"ZI000067853","1962-09-04","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","    0",",,Q","  315",",,Q","   54",",,Q"
"ZI000067853","1962-09-05","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","    0",",,Q","  303",",,Q","   71",",,Q"
"ZI000067853","1962-09-06","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","    0",",,Q","  311",",,Q","   64",",,Q"
"ZI000067853","1962-09-07","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","    0",",,Q","  314",",,Q","   91",",,Q"
"ZI000067853","1962-09-08","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","    0",",,Q","  314",",,Q","   69",",,Q"
"ZI000067853","1962-09-09","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","    0",",,Q","  316",",,Q","  131",",,Q"
"ZI000067853","1962-09-10","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","    0",",,Q","  311",",,Q","   97",",,Q"
"ZI000067853","1962-09-11","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","    0",",,Q","  309",",,Q","  164",",,Q"
"ZI000067853","1962-09-12","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","    0",",,Q","  323",",,Q","  126",",,Q"
"ZI000067853","1962-09-13","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","    0",",,Q","  318",",,Q","  121",",,Q"
"ZI000067853","1962-09-14","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","    0",",,Q","  324",",,Q","  123",",,Q"
"ZI000067853","1962-09-15","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","    0",",,Q","  298",",,Q","  137",",,Q"
"ZI000067853","1962-09-16","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","    0",",,Q","  316",",,Q","  109",",,Q"
"ZI000067853","1962-09-17","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","    0",",,Q","  297",",,Q","  122",",,Q"
"ZI000067853","1962-09-18","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","    0",",,Q","  317",",,Q","   43",",,Q"
"ZI000067853","1962-09-19","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","    0",",,Q","  328",",,Q","   55",",,Q"
"ZI000067853","1962-09-20","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","    0",",,Q","  326",",,Q","  132",",,Q"
"ZI000067853","1962-09-21","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","    0",",,Q","  331",",,Q","  100",",,Q"
"ZI000067853","1962-09-22","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","    0",",,Q","  324",",,Q","  166",",,Q"
"ZI000067853","1962-09-23","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","    0",",,Q","  331",",,Q","   84",",,Q"
"ZI000067853","1962-09-24","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","    0",",,Q","  331",",,Q","   94",",,Q"
"ZI000067853","1962-09-25","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","    0",",,Q","  335",",,Q","   86",",,Q"
"ZI000067853","1962-09-26","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","    0",",,Q","  333",",,Q","  114",",,Q"
"ZI000067853","1962-09-27","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","    0",",,Q","  347",",,Q","  118",",,Q"
"ZI000067853","1962-09-28","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","    0",",,Q","  341",",,Q","  159",",,Q"
"ZI000067853","1962-09-29","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","    0",",,Q","  322",",,Q","  183",",,Q"
"ZI000067853","1962-09-30","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","    0",",,Q","  324",",,Q","  186",",,Q"
"ZI000067853","1962-10-01","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","    0",",,Q","  338",",,Q","  126",",,Q"
"ZI000067853","1962-10-02","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","    0",",,Q","  340",",,Q","  130",",,Q"
"ZI000067853","1962-10-03","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","    0",",,Q","  341",",,Q","  149",",,Q"
"ZI000067853","1962-10-04","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","    0",",,Q","  352",",,Q","  149",",,Q"
"ZI000067853","1962-10-05","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","    0",",,Q","  336",",,Q","  173",",,Q"
"ZI000067853","1962-10-06","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","    0",",,Q","  333",",,Q","  145",",,Q"
"ZI000067853","1962-10-07","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","    0",",,Q","  332",",,Q","  162",",,Q"
"ZI000067853","1962-10-08","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","    0",",,Q","  347",",,Q","  172",",,Q"
"ZI000067853","1962-10-09","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","    0",",,Q","  363",",,Q","  164",",,Q"
"ZI000067853","1962-10-10","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","    0",",,Q","  349",",,Q","  173",",,Q"
"ZI000067853","1962-10-11","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","    0",",,Q","  313",",,Q","  141",",,Q"
"ZI000067853","1962-10-12","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","    0",",,Q","  334",",,Q","  132",",,Q"
"ZI000067853","1962-10-13","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","    0",",,Q","  354",",,Q","  163",",,Q"
"ZI000067853","1962-10-14","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","    0",",,Q","  365",",,Q","  142",",,Q"
"ZI000067853","1962-10-15","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","    0",",,Q","  372",",,Q","  173",",,Q"
"ZI000067853","1962-10-16","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","    0",",,Q","  377",",,Q","  189",",,Q"
"ZI000067853","1962-10-17","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","    0",",,Q","  388",",,Q","  152",",,Q"
"ZI000067853","1962-10-18","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","    0",",,Q","  392",",,Q","  160",",,Q"
"ZI000067853","1962-10-19","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","   33",",,Q","  381",",,Q","  198",",,Q"
"ZI000067853","1962-10-20","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","    0",",,Q","  332",",,Q","  192",",,Q"
"ZI000067853","1962-10-21","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","    0",",,Q","  326",",,Q","  179",",,Q"
"ZI000067853","1962-10-22","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","    0",",,Q","  324",",,Q","  178",",,Q"
"ZI000067853","1962-10-23","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","    0",",,Q","  339",",,Q","  164",",,Q"
"ZI000067853","1962-10-24","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","    0",",,Q","  354",",,Q","  177",",,Q"
"ZI000067853","1962-10-25","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","    0",",,Q","  327",",,Q","  199",",,Q"
"ZI000067853","1962-10-26","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","    0",",,Q","  322",",,Q","  172",",,Q"
"ZI000067853","1962-10-27","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","    0",",,Q","  341",",,Q","  172",",,Q"
"ZI000067853","1962-10-28","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","    0",",,Q","  358",",,Q","  201",",,Q"
"ZI000067853","1962-10-29","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","    0",",,Q","  366",",,Q","  206",",,Q"
"ZI000067853","1962-10-30","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","    0",",,Q","  377",",,Q","  179",",,Q"
"ZI000067853","1962-10-31","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","    0",",,Q","  378",",,Q","  181",",,Q"
"ZI000067853","1962-11-01","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","    5",",,Q","  349",",,Q","  242",",,Q"
"ZI000067853","1962-11-02","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","    0",",,Q","  354",",,Q","  205",",,Q"
"ZI000067853","1962-11-03","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","    0",",,Q","  360",",,Q","  203",",,Q"
"ZI000067853","1962-11-04","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","    0",",,Q","  362",",,Q","  209",",,Q"
"ZI000067853","1962-11-05","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","    0",",,Q","  296",",,Q","  243",",,Q"
"ZI000067853","1962-11-06","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","    0",",,Q","  269",",,Q","  191",",,Q"
"ZI000067853","1962-11-07","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","  198",",,Q","  286",",,Q","  169",",,Q"
"ZI000067853","1962-11-08","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","   33",",,Q","  297",",,Q","  166",",,Q"
"ZI000067853","1962-11-09","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","    0",",,Q","  276",",,Q","  172",",,Q"
"ZI000067853","1962-11-10","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","    0",",,Q","  298",",,Q","  168",",,Q"
"ZI000067853","1962-11-11","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","   46",",,Q","  316",",,Q","  186",",,Q"
"ZI000067853","1962-11-12","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","    0",",,Q","  332",",,Q","  177",",,Q"
"ZI000067853","1962-11-13","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","    0",",,Q","  341",",,Q","  214",",,Q"
"ZI000067853","1962-11-14","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","  157",",,Q","  329",",,Q","  199",",,Q"
"ZI000067853","1962-11-15","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","   43",",,Q","  281",",,Q","  183",",,Q"
"ZI000067853","1962-11-16","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","  132",",,Q","  297",",,Q","  188",",,Q"
"ZI000067853","1962-11-17","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","   30",",,Q","  285",",,Q","  181",",,Q"
"ZI000067853","1962-11-18","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","   10",",,Q","  238",",,Q","  184",",,Q"
"ZI000067853","1962-11-19","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","   20",",,Q","  287",",,Q","  174",",,Q"
"ZI000067853","1962-11-20","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","    5",",,Q","  256",",,Q","  192",",,Q"
