"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES"
"ZI000067964","1962-08-31","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  250",",,I","   89",",,I","  193","H,,S"
"ZI000067964","1962-09-01","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  272",",,I","  106",",,I","  209","H,,S"
"ZI000067964","1962-09-02","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  278",",,I","  111",",,I","  212","H,,S"
"ZI000067964","1962-09-03","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  294",",,I","  106",",,I","  218","H,,S"
"ZI000067964","1962-09-04","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  283",",,I","  106",",,I","  218","H,,S"
"ZI000067964","1962-09-05","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  283",",,I","   94",",,I","  207","H,,S"
"ZI000067964","1962-09-06","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  283",",,I","  111",",,I","  221","H,,S"
"ZI000067964","1962-09-07","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  289",",,I","  111",",,I","  214","H,,S"
"ZI000067964","1962-09-08","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  289",",,I","  106",",,I","  214","H,,S"
"ZI000067964","1962-09-09","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  283",",,I","  117",",,I","  219","H,,S"
"ZI000067964","1962-09-10","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  294",",,I","  128",",,I","  224","H,,S"
"ZI000067964","1962-09-11","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  289",",,I","  128",",,I","  226","H,,S"
"ZI000067964","1962-09-12","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  317",",,I","  122",",,I","  242","H,,S"
"ZI000067964","1962-09-13","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  300",",,I","  150",",,I","  237","H,,S"
"ZI000067964","1962-09-14","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  306",",,I","  128",",,I","  238","H,,S"
"ZI000067964","1962-09-15","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI",,,"  161",",,I","  117",",,I","  146","H,,S"
"ZI000067964","1962-09-16","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  244",",,I","   94",",,I","  179","H,,S"
"ZI000067964","1962-09-17","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  278",",,I","   72",",,I","  196","H,,S"
"ZI000067964","1962-09-18","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  289",",,I","  100",",,I","  214","H,,S"
"ZI000067964","1962-09-19","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  283",",,I","  111",",,I","  219","H,,S"
"ZI000067964","1962-09-20","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  289",",,I","  117",",,I","  214","H,,S"
"ZI000067964","1962-09-21","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  289",",,I","  122",",,I","  225","H,,S"
"ZI000067964","1962-09-22","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  300",",,I","  111",",,I","  227","H,,S"
"ZI000067964","1962-09-23","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  311",",,I","  111",",,I","  239","H,,S"
"ZI000067964","1962-09-24","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  322",",,I","  139",",,I","  249","H,,S"
"ZI000067964","1962-09-25","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  317",",,I","  144",",,I","  252","H,,S"
"ZI000067964","1962-09-26","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  322",",,I","  156",",,I","  253","H,,S"
"ZI000067964","1962-09-27","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  333",",,I","  150",",,I","  260","H,,S"
"ZI000067964","1962-09-28","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  283",",,I","  172",",,I","  225","H,,S"
"ZI000067964","1962-09-29","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  289",",,I","  156",",,I","  226","H,,S"
"ZI000067964","1962-09-30","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  300",",,I","  150",",,I","  233","H,,S"
"ZI000067964","1962-10-01","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  317",",,I","  133",",,I","  248","H,,S"
"ZI000067964","1962-10-02","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  311",",,I","  156",",,I","  248","H,,S"
"ZI000067964","1962-10-03","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  322",",,I","  156",",,I","  259","H,,S"
"ZI000067964","1962-10-04","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  322",",,I","  172",",,I","  266","H,,S"
"ZI000067964","1962-10-05","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  306",",,I","  172",",,I","  252","H,,S"
"ZI000067964","1962-10-06","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  306",",,I","  167",",,I","  251","H,,S"
"ZI000067964","1962-10-07","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI",,,"  300",",,I","  167",",,I","  243","H,,S"
"ZI000067964","1962-10-08","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  333",",,I","  183",",,I","  276","H,,S"
"ZI000067964","1962-10-09","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  344",",,I","  172",",,I","  283","H,,S"
"ZI000067964","1962-10-10","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  311",",,I","  167",",,I","  237","H,,S"
"ZI000067964","1962-10-11","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  256",",,I","  122",",,I","  196","H,,S"
"ZI000067964","1962-10-12","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  283",",,I","  111",",,I","  218","H,,S"
"ZI000067964","1962-10-13","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  322",",,I","  139",",,I","  259","H,,S"
"ZI000067964","1962-10-14","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  344",",,I","  133",",,I","  269","H,,S"
"ZI000067964","1962-10-15","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  350",",,I","  161",",,I","  279","H,,S"
