"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES"
"BR047053160","1947-02-19","-10.18","-42.43","358.0","PILAO ARCADO, BR","    0",",,I"
"BR047053160","1947-02-20","-10.18","-42.43","358.0","PILAO ARCADO, BR","  510",",,I"
"BR047053160","1947-02-21","-10.18","-42.43","358.0","PILAO ARCADO, BR","   70",",,I"
"BR047053160","1947-02-22","-10.18","-42.43","358.0","PILAO ARCADO, BR","  160",",,I"
"BR047053160","1947-02-23","-10.18","-42.43","358.0","PILAO ARCADO, BR","    0",",,I"
"BR047053160","1947-02-24","-10.18","-42.43","358.0","PILAO ARCADO, BR","    0",",,I"
"BR047053160","1947-02-25","-10.18","-42.43","358.0","PILAO ARCADO, BR","    0",",,I"
"BR047053160","1947-02-26","-10.18","-42.43","358.0","PILAO ARCADO, BR","    0",",,I"
"BR047053160","1947-02-27","-10.18","-42.43","358.0","PILAO ARCADO, BR","    0",",,I"
"BR047053160","1947-02-28","-10.18","-42.43","358.0","PILAO ARCADO, BR","    0",",,I"
"BR047053160","1947-03-01","-10.18","-42.43","358.0","PILAO ARCADO, BR","    8",",,I"
"BR047053160","1947-03-02","-10.18","-42.43","358.0","PILAO ARCADO, BR","    9",",,I"
"BR047053160","1947-03-03","-10.18","-42.43","358.0","PILAO ARCADO, BR","    0",",,I"
"BR047053160","1947-03-04","-10.18","-42.43","358.0","PILAO ARCADO, BR","    0",",,I"
"BR047053160","1947-03-05","-10.18","-42.43","358.0","PILAO ARCADO, BR","    0",",,I"
"BR047053160","1947-03-06","-10.18","-42.43","358.0","PILAO ARCADO, BR","    0",",,I"
"BR047053160","1947-03-07","-10.18","-42.43","358.0","PILAO ARCADO, BR","    3",",,I"
"BR047053160","1947-03-08","-10.18","-42.43","358.0","PILAO ARCADO, BR","   46",",,I"
"BR047053160","1947-03-09","-10.18","-42.43","358.0","PILAO ARCADO, BR","    3",",,I"
"BR047053160","1947-03-10","-10.18","-42.43","358.0","PILAO ARCADO, BR","    9",",,I"
"BR047053160","1947-03-11","-10.18","-42.43","358.0","PILAO ARCADO, BR","    9",",,I"
"BR047053160","1947-03-12","-10.18","-42.43","358.0","PILAO ARCADO, BR","   32",",,I"
"BR047053160","1947-03-13","-10.18","-42.43","358.0","PILAO ARCADO, BR","   21",",,I"
"BR047053160","1947-03-14","-10.18","-42.43","358.0","PILAO ARCADO, BR","   19",",,I"
"BR047053160","1947-03-15","-10.18","-42.43","358.0","PILAO ARCADO, BR","    5",",,I"
"BR047053160","1947-03-16","-10.18","-42.43","358.0","PILAO ARCADO, BR","    0",",,I"
"BR047053160","1947-03-17","-10.18","-42.43","358.0","PILAO ARCADO, BR","    0",",,I"
"BR047053160","1947-03-18","-10.18","-42.43","358.0","PILAO ARCADO, BR","    0",",,I"
"BR047053160","1947-03-19","-10.18","-42.43","358.0","PILAO ARCADO, BR","  380",",,I"
"BR047053160","1947-03-20","-10.18","-42.43","358.0","PILAO ARCADO, BR","   70",",,I"
"BR047053160","1947-03-21","-10.18","-42.43","358.0","PILAO ARCADO, BR","    0",",,I"
"BR047053160","1947-03-22","-10.18","-42.43","358.0","PILAO ARCADO, BR","   10",",,I"
"BR047053160","1947-03-23","-10.18","-42.43","358.0","PILAO ARCADO, BR","  320",",,I"
"BR047053160","1947-03-24","-10.18","-42.43","358.0","PILAO ARCADO, BR","   50",",,I"
"BR047053160","1947-03-25","-10.18","-42.43","358.0","PILAO ARCADO, BR","    0",",,I"
"BR047053160","1947-03-26","-10.18","-42.43","358.0","PILAO ARCADO, BR","  230",",,I"
"BR047053160","1947-03-27","-10.18","-42.43","358.0","PILAO ARCADO, BR","    0",",,I"
"BR047053160","1947-03-28","-10.18","-42.43","358.0","PILAO ARCADO, BR","    0",",,I"
"BR047053160","1947-03-29","-10.18","-42.43","358.0","PILAO ARCADO, BR","    0",",,I"
"BR047053160","1947-03-30","-10.18","-42.43","358.0","PILAO ARCADO, BR","  620",",,I"
"BR047053160","1947-03-31","-10.18","-42.43","358.0","PILAO ARCADO, BR","    0",",,I"
"BR047053160","1947-04-01","-10.18","-42.43","358.0","PILAO ARCADO, BR","    0",",,I"
"BR047053160","1947-04-02","-10.18","-42.43","358.0","PILAO ARCADO, BR","  140",",,I"
"BR047053160","1947-04-03","-10.18","-42.43","358.0","PILAO ARCADO, BR","    0",",,I"
"BR047053160","1947-04-04","-10.18","-42.43","358.0","PILAO ARCADO, BR","    0",",,I"
"BR047053160","1947-04-05","-10.18","-42.43","358.0","PILAO ARCADO, BR","    0",",,I"
"BR047053160","1947-04-06","-10.18","-42.43","358.0","PILAO ARCADO, BR","    0",",,I"
"BR047053160","1947-04-07","-10.18","-42.43","358.0","PILAO ARCADO, BR","    0",",,I"
"BR047053160","1947-04-08","-10.18","-42.43","358.0","PILAO ARCADO, BR","    0",",,I"
"BR047053160","1947-04-09","-10.18","-42.43","358.0","PILAO ARCADO, BR","    0",",,I"
"BR047053160","1947-04-10","-10.18","-42.43","358.0","PILAO ARCADO, BR","    0",",,I"
"BR047053160","1947-04-11","-10.18","-42.43","358.0","PILAO ARCADO, BR","    0",",,I"
"BR047053160","1947-04-12","-10.18","-42.43","358.0","PILAO ARCADO, BR","    0",",,I"
"BR047053160","1947-04-13","-10.18","-42.43","358.0","PILAO ARCADO, BR","    0",",,I"
"BR047053160","1947-04-14","-10.18","-42.43","358.0","PILAO ARCADO, BR","    0",",,I"
"BR047053160","1947-04-15","-10.18","-42.43","358.0","PILAO ARCADO, BR","    0",",,I"
"BR047053160","1947-04-16","-10.18","-42.43","358.0","PILAO ARCADO, BR","    0",",,I"
"BR047053160","1947-04-17","-10.18","-42.43","358.0","PILAO ARCADO, BR","    0",",,I"
"BR047053160","1947-04-18","-10.18","-42.43","358.0","PILAO ARCADO, BR","    0",",,I"
