"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ZI000067865","1951-12-07","-18.933","29.833","1215.0","KWEKWE, ZI","  289",",,Q","  150",",,Q"
"ZI000067865","1951-12-08","-18.933","29.833","1215.0","KWEKWE, ZI","  297",",,Q","  164",",,Q"
"ZI000067865","1951-12-09","-18.933","29.833","1215.0","KWEKWE, ZI","  220",",,Q","  178",",,Q"
"ZI000067865","1951-12-10","-18.933","29.833","1215.0","KWEKWE, ZI","  240",",,Q","  170",",,Q"
"ZI000067865","1951-12-11","-18.933","29.833","1215.0","KWEKWE, ZI","  269",",,Q","  178",",,Q"
"ZI000067865","1951-12-12","-18.933","29.833","1215.0","KWEKWE, ZI","  288",",,Q","  181",",,Q"
"ZI000067865","1951-12-13","-18.933","29.833","1215.0","KWEKWE, ZI","  283",",,Q","  167",",,Q"
"ZI000067865","1951-12-14","-18.933","29.833","1215.0","KWEKWE, ZI","  292",",,Q","  173",",,Q"
"ZI000067865","1951-12-15","-18.933","29.833","1215.0","KWEKWE, ZI","  258",",,Q","  176",",,Q"
"ZI000067865","1951-12-16","-18.933","29.833","1215.0","KWEKWE, ZI","  267",",,Q","  145",",,Q"
"ZI000067865","1951-12-17","-18.933","29.833","1215.0","KWEKWE, ZI","  279",",,Q","  141",",,Q"
"ZI000067865","1951-12-18","-18.933","29.833","1215.0","KWEKWE, ZI","  297",",,Q","  140",",,Q"
"ZI000067865","1951-12-19","-18.933","29.833","1215.0","KWEKWE, ZI","  307",",,Q","  168",",,Q"
"ZI000067865","1951-12-20","-18.933","29.833","1215.0","KWEKWE, ZI","  295",",,Q","  179",",,Q"
"ZI000067865","1951-12-21","-18.933","29.833","1215.0","KWEKWE, ZI","  303",",,Q","  191",",,Q"
"ZI000067865","1951-12-22","-18.933","29.833","1215.0","KWEKWE, ZI","  295",",,Q","  175",",,Q"
"ZI000067865","1951-12-23","-18.933","29.833","1215.0","KWEKWE, ZI","  247",",,Q","  175",",,Q"
"ZI000067865","1951-12-24","-18.933","29.833","1215.0","KWEKWE, ZI","  246",",,Q","  181",",,Q"
"ZI000067865","1951-12-25","-18.933","29.833","1215.0","KWEKWE, ZI","  242",",,Q","  187",",,Q"
"ZI000067865","1951-12-26","-18.933","29.833","1215.0","KWEKWE, ZI","  284",",,Q","  189",",,Q"
"ZI000067865","1951-12-27","-18.933","29.833","1215.0","KWEKWE, ZI","  268",",,Q","  182",",,Q"
"ZI000067865","1951-12-28","-18.933","29.833","1215.0","KWEKWE, ZI","  249",",,Q","  161",",,Q"
"ZI000067865","1951-12-29","-18.933","29.833","1215.0","KWEKWE, ZI","  288",",,Q","  138",",,Q"
"ZI000067865","1951-12-30","-18.933","29.833","1215.0","KWEKWE, ZI","  286",",,Q","  120",",,Q"
"ZI000067865","1951-12-31","-18.933","29.833","1215.0","KWEKWE, ZI","  296",",,Q","  167",",,Q"
"ZI000067865","1952-01-01","-18.933","29.833","1215.0","KWEKWE, ZI","  279",",,Q","  190",",,Q"
"ZI000067865","1952-01-02","-18.933","29.833","1215.0","KWEKWE, ZI","  254",",,Q","  185",",,Q"
"ZI000067865","1952-01-03","-18.933","29.833","1215.0","KWEKWE, ZI","  242",",,Q","  196",",,Q"
"ZI000067865","1952-01-04","-18.933","29.833","1215.0","KWEKWE, ZI","  233",",,Q","  198",",,Q"
"ZI000067865","1952-01-05","-18.933","29.833","1215.0","KWEKWE, ZI","  251",",,Q","  189",",,Q"
"ZI000067865","1952-01-06","-18.933","29.833","1215.0","KWEKWE, ZI","  261",",,Q","  188",",,Q"
"ZI000067865","1952-01-07","-18.933","29.833","1215.0","KWEKWE, ZI","  257",",,Q","  192",",,Q"
"ZI000067865","1952-01-08","-18.933","29.833","1215.0","KWEKWE, ZI","  263",",,Q","  189",",,Q"
