"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1KYSC0013","2010-12-13","38.285284","-84.652212","256.3","STAMPING GROUND 2.1 ENE, KY US","   46",",,N",,
"US1KYSC0013","2010-12-14","38.285284","-84.652212","256.3","STAMPING GROUND 2.1 ENE, KY US","    0","T,,N",,
"US1KYSC0013","2010-12-15","38.285284","-84.652212","256.3","STAMPING GROUND 2.1 ENE, KY US","    0",",,N","    0",",,N"
"US1KYSC0013","2010-12-16","38.285284","-84.652212","256.3","STAMPING GROUND 2.1 ENE, KY US","  119",",,N",,
"US1KYSC0013","2010-12-17","38.285284","-84.652212","256.3","STAMPING GROUND 2.1 ENE, KY US","   10",",,N",,
"US1KYSC0013","2010-12-18","38.285284","-84.652212","256.3","STAMPING GROUND 2.1 ENE, KY US","    0","T,,N",,
"US1KYSC0013","2010-12-19","38.285284","-84.652212","256.3","STAMPING GROUND 2.1 ENE, KY US","    0",",,N","    0",",,N"
"US1KYSC0013","2010-12-20","38.285284","-84.652212","256.3","STAMPING GROUND 2.1 ENE, KY US","    0",",,N","    0",",,N"
"US1KYSC0013","2010-12-21","38.285284","-84.652212","256.3","STAMPING GROUND 2.1 ENE, KY US","   53",",,N",,
"US1KYSC0013","2010-12-22","38.285284","-84.652212","256.3","STAMPING GROUND 2.1 ENE, KY US","    0",",,N","    0",",,N"
"US1KYSC0013","2010-12-23","38.285284","-84.652212","256.3","STAMPING GROUND 2.1 ENE, KY US","    0",",,N","    0",",,N"
"US1KYSC0013","2010-12-24","38.285284","-84.652212","256.3","STAMPING GROUND 2.1 ENE, KY US","    0",",,N","    0",",,N"
"US1KYSC0013","2010-12-25","38.285284","-84.652212","256.3","STAMPING GROUND 2.1 ENE, KY US","   36",",,N",,
"US1KYSC0013","2010-12-26","38.285284","-84.652212","256.3","STAMPING GROUND 2.1 ENE, KY US","    3",",,N",,
"US1KYSC0013","2010-12-27","38.285284","-84.652212","256.3","STAMPING GROUND 2.1 ENE, KY US","    8",",,N",,
"US1KYSC0013","2010-12-28","38.285284","-84.652212","256.3","STAMPING GROUND 2.1 ENE, KY US","    0",",,N","    0",",,N"
"US1KYSC0013","2010-12-29","38.285284","-84.652212","256.3","STAMPING GROUND 2.1 ENE, KY US","    0",",,N","    0",",,N"
"US1KYSC0013","2010-12-30","38.285284","-84.652212","256.3","STAMPING GROUND 2.1 ENE, KY US","   89",",,N",,
"US1KYSC0013","2010-12-31","38.285284","-84.652212","256.3","STAMPING GROUND 2.1 ENE, KY US","    3",",,N",,
"US1KYSC0013","2011-01-01","38.285284","-84.652212","256.3","STAMPING GROUND 2.1 ENE, KY US","   53",",,N",,
"US1KYSC0013","2011-01-02","38.285284","-84.652212","256.3","STAMPING GROUND 2.1 ENE, KY US","   28",",,N",,
"US1KYSC0013","2011-01-03","38.285284","-84.652212","256.3","STAMPING GROUND 2.1 ENE, KY US","    0",",,N","    0",",,N"
"US1KYSC0013","2011-01-04","38.285284","-84.652212","256.3","STAMPING GROUND 2.1 ENE, KY US","    0",",,N","    0",",,N"
"US1KYSC0013","2011-01-05","38.285284","-84.652212","256.3","STAMPING GROUND 2.1 ENE, KY US","    0",",,N","    0",",,N"
"US1KYSC0013","2011-01-06","38.285284","-84.652212","256.3","STAMPING GROUND 2.1 ENE, KY US","    0",",,N","    0",",,N"
"US1KYSC0013","2011-01-07","38.285284","-84.652212","256.3","STAMPING GROUND 2.1 ENE, KY US","    0","T,,N",,
