TMAX,TMIN,PRCP,SNWD,DATE,STATION
,,,,1975-06-23,AF000040930
,,,,1975-06-24,AF000040930
,,,,1975-06-25,AF000040930
,   40,,,1975-06-27,AF000040930
,,,,1975-06-29,AF000040930
,,,,1975-06-30,AF000040930
,   50,,,1975-07-24,AF000040930
,,,,1975-07-25,AF000040930
,,,,1975-07-27,AF000040930
,   60,,,1975-07-29,AF000040930
,    0,,,1975-07-30,AF000040930
,,,,1975-08-02,AF000040930
,,,,1975-08-03,AF000040930
,   80,,,1975-08-04,AF000040930
,   30,,,1975-08-05,AF000040930
,   50,,,1975-08-06,AF000040930
,   60,,,1975-08-07,AF000040930
,,,,1975-08-08,AF000040930
,,,,1975-08-09,AF000040930
,,,,1975-08-11,AF000040930
,   80,,,1975-08-12,AF000040930
,,,,1975-08-13,AF000040930
,,,,1975-08-14,AF000040930
,,,,1975-08-15,AF000040930
,  100,,,1975-08-16,AF000040930
,,,,1975-08-18,AF000040930
,    0,,,1975-08-23,AF000040930
,   50,,,1975-08-25,AF000040930
,,,,1975-08-26,AF000040930
,   30,,,1975-08-27,AF000040930
,   10,,,1975-08-28,AF000040930
,    0,,,1975-08-29,AF000040930
,,,,1975-08-30,AF000040930
,   40,,,1975-08-31,AF000040930
,,,,1975-09-01,AF000040930
,   50,,,1975-09-02,AF000040930
,,,,1975-09-04,AF000040930
,   40,,,1975-09-05,AF000040930
,   10,,,1975-09-06,AF000040930
,,,,1975-09-07,AF000040930
,    0,,,1975-09-08,AF000040930
,   40,,,1975-09-09,AF000040930
,   50,,,1975-09-10,AF000040930
,   40,,,1975-09-11,AF000040930
,   40,,,1975-09-12,AF000040930
,,,,1975-09-13,AF000040930
,,,,1975-09-14,AF000040930
,,,,1975-09-15,AF000040930
,,,,1975-09-16,AF000040930
,   20,,,1975-09-17,AF000040930
,,,,1975-09-19,AF000040930
,  -20,,,1975-09-20,AF000040930
,  -30,,,1975-09-21,AF000040930
,  -20,,,1975-09-23,AF000040930
,,,,1975-09-25,AF000040930
,  -20,,,1975-09-26,AF000040930
,  -40,,,1975-09-27,AF000040930
,  -30,,,1975-09-29,AF000040930
,  -40,,,1975-09-30,AF000040930
,,,,1975-10-01,AF000040930
,   10,,,1975-10-03,AF000040930
,,,,1975-10-04,AF000040930
,   20,,,1975-10-05,AF000040930
,   30,,,1975-10-08,AF000040930
,,,,1975-10-20,AF000040930
,,,,1975-10-21,AF000040930
, -100,,,1975-10-22,AF000040930
,  -60,,,1975-10-23,AF000040930
,,,,1975-10-24,AF000040930
, -100,,,1975-10-25,AF000040930
,,,,1975-10-26,AF000040930
,  -50,,,1975-10-27,AF000040930
,  -10,,,1975-10-28,AF000040930
,  -30,,,1975-10-29,AF000040930
,,,,1975-11-03,AF000040930
, -140,,,1975-11-07,AF000040930
,,,,1975-11-08,AF000040930
,,,,1975-11-09,AF000040930
,,,,1975-11-10,AF000040930
,,,,1975-11-11,AF000040930
,,,,1975-11-12,AF000040930
,,,,1975-11-13,AF000040930
,,,,1975-11-16,AF000040930
,,,,1975-11-17,AF000040930
,,,,1975-11-18,AF000040930
,,,,1975-11-26,AF000040930
,,,,1975-11-30,AF000040930
,,,,1975-12-01,AF000040930
,,,,1975-12-02,AF000040930
,  -80,,,1975-12-03,AF000040930
,,,,1975-12-05,AF000040930
,,,,1975-12-06,AF000040930
,,,,1975-12-08,AF000040930
, -170,,,1975-12-09,AF000040930
,,,,1975-12-11,AF000040930
, -120,,,1975-12-13,AF000040930
,,,,1975-12-15,AF000040930
,,,,1975-12-16,AF000040930
  -50,,,,1975-12-17,AF000040930
, -130,,,1975-12-19,AF000040930
  -40,,,,1975-12-20,AF000040930
,,,,1975-12-21,AF000040930
,,,,1975-12-22,AF000040930
,  -80,,,1975-12-28,AF000040930
,  -90,,,1975-12-29,AF000040930
,  -80,,,1976-01-01,AF000040930
,,,,1976-01-02,AF000040930
,,,,1976-01-03,AF000040930
, -130,,,1976-01-04,AF000040930
, -130,,,1976-01-05,AF000040930
,  -80,,,1976-01-09,AF000040930
  -30, -100,,,1976-01-10,AF000040930
, -110,,,1976-01-11,AF000040930
,  -90,,,1976-01-12,AF000040930
,,,,1976-01-13,AF000040930
,,,,1976-01-15,AF000040930
,,,,1976-01-16,AF000040930
,,,,1976-01-17,AF000040930
,,,,1976-01-18,AF000040930
,,,,1976-01-19,AF000040930
  -20,,,,1976-01-20,AF000040930
, -110,,,1976-01-21,AF000040930
,,,,1976-01-22,AF000040930
,  -70,,,1976-01-23,AF000040930
, -130,,,1976-01-24,AF000040930
,,,,1976-01-26,AF000040930
,,,,1976-01-27,AF000040930
,,,,1976-01-28,AF000040930
, -150,,,1976-01-29,AF000040930
, -110,,,1976-01-30,AF000040930
,,,,1976-01-31,AF000040930
  -60, -110,,,1976-02-01,AF000040930
, -170,,,1976-02-04,AF000040930
  100,,,,1976-02-05,AF000040930
  -20,,,,1976-02-06,AF000040930
,  -80,,,1976-02-07,AF000040930
, -110,,,1976-02-08,AF000040930
,,,,1976-02-09,AF000040930
  -20,  -80,,,1976-02-10,AF000040930
,,,,1976-02-11,AF000040930
,  -80,,,1976-02-12,AF000040930
,,,,1976-02-13,AF000040930
,,,,1976-02-14,AF000040930
,,,,1976-02-15,AF000040930
, -130,,,1976-02-18,AF000040930
,,,,1976-02-19,AF000040930
, -180,,,1976-02-20,AF000040930
,,,,1976-02-21,AF000040930
  -70,,,,1976-02-22,AF000040930
  -40,,,,1976-02-23,AF000040930
  -30, -100,,,1976-02-24,AF000040930
 -150, -240,,,1976-02-26,AF000040930
, -180,,,1976-02-28,AF000040930
  -30,  -50,,,1976-02-29,AF000040930
    0,  -60,,,1976-03-02,AF000040930
,,,,1976-03-05,AF000040930
  -40,,,,1976-03-06,AF000040930
, -100,,,1976-03-07,AF000040930
,,,,1976-03-08,AF000040930
,,,,1976-03-09,AF000040930
  -50, -120,,,1976-03-11,AF000040930
,  -90,,,1976-03-12,AF000040930
, -110,,,1976-03-13,AF000040930
, -100,,,1976-03-14,AF000040930
,  -80,,,1976-03-15,AF000040930
,,,,1976-03-16,AF000040930
,,,,1976-03-17,AF000040930
,,,,1976-03-18,AF000040930
  -20,,,,1976-03-21,AF000040930
,,,,1976-03-22,AF000040930
   10,,,,1976-03-23,AF000040930
,  -70,,,1976-03-26,AF000040930
, -120,,,1976-03-27,AF000040930
  -50,,,,1976-03-29,AF000040930
,,,,1976-03-30,AF000040930
,,,,1976-04-02,AF000040930
,,,,1976-04-04,AF000040930
  -40,,,,1976-04-05,AF000040930
,  -90,,,1976-04-06,AF000040930
,  -80,,,1976-04-07,AF000040930
,,,,1976-04-10,AF000040930
,,,,1976-04-11,AF000040930
,,,,1976-04-19,AF000040930
,   20,,,1976-04-21,AF000040930
,  -40,,,1976-04-28,AF000040930
,  -40,,,1976-04-29,AF000040930
,,,,1976-05-06,AF000040930
,   20,,,1976-06-26,AF000040930
,   70,,,1976-07-04,AF000040930
,   90,,,1976-07-21,AF000040930
,,,,1976-07-26,AF000040930
,   50,,,1976-07-27,AF000040930
,   70,,,1976-07-31,AF000040930
,,,,1976-08-01,AF000040930
,,,,1976-08-08,AF000040930
,,,,1976-08-16,AF000040930
,   50,,,1976-08-17,AF000040930
,   30,,,1976-08-22,AF000040930
,,,,1976-08-28,AF000040930
,   90,,,1976-08-31,AF000040930
  140,,,,1976-09-02,AF000040930
,   40,,,1976-09-03,AF000040930
,   40,,,1976-09-04,AF000040930
  120,,,,1976-09-08,AF000040930
,,,,1976-09-09,AF000040930
  120,   10,,,1976-09-10,AF000040930
   90,   10,,,1976-09-12,AF000040930
,   20,,,1976-09-19,AF000040930
,   20,,,1976-09-21,AF000040930
,   30,,,1976-09-22,AF000040930
  130,,,,1976-09-29,AF000040930
,    0,,,1976-10-10,AF000040930
,    0,,,1976-10-20,AF000040930
   40,,,,1976-10-23,AF000040930
, -170,,,1976-10-24,AF000040930
   80,  -10,,,1976-10-27,AF000040930
,,,,1976-11-04,AF000040930
,  -70,,,1976-11-08,AF000040930
,,,,1976-11-09,AF000040930
    0, -120,,,1976-11-12,AF000040930
, -160,,,1976-11-15,AF000040930
, -100,,,1976-11-17,AF000040930
    0,  -80,,,1976-11-20,AF000040930
   20,,,,1976-11-24,AF000040930
   30,,,,1976-11-25,AF000040930
,,,,1976-11-27,AF000040930
,,,,1976-11-29,AF000040930
, -120,,,1976-12-01,AF000040930
, -130,,,1976-12-02,AF000040930
  -60,,,,1976-12-05,AF000040930
  -40,,,,1976-12-09,AF000040930
,,,,1976-12-10,AF000040930
  -30,,,,1976-12-11,AF000040930
  -30,,,,1976-12-13,AF000040930
,,,,1976-12-14,AF000040930
  -10,,,,1976-12-15,AF000040930
  -20, -120,,,1976-12-16,AF000040930
,,,,1976-12-17,AF000040930
,,,,1976-12-18,AF000040930
   10,,,,1976-12-19,AF000040930
,,,,1976-12-20,AF000040930
  -40,,,,1976-12-21,AF000040930
  -40,,,,1976-12-22,AF000040930
  -40,,,,1976-12-23,AF000040930
,,,,1976-12-24,AF000040930
  -90, -150,,,1976-12-26,AF000040930
  -70,,,,1976-12-27,AF000040930
,,,,1976-12-29,AF000040930
,,,,1976-12-31,AF000040930
,,,,1977-01-01,AF000040930
,,,,1977-01-03,AF000040930
,  -90,,,1977-01-04,AF000040930
, -160,,,1977-01-05,AF000040930
  -70,,,,1977-01-06,AF000040930
, -180,,,1977-01-07,AF000040930
  -40,,,,1977-01-08,AF000040930
  -40,,,,1977-01-09,AF000040930
, -220,,,1977-01-11,AF000040930
, -220,,,1977-01-12,AF000040930
, -130,,,1977-01-13,AF000040930
,,,,1977-01-14,AF000040930
, -190,,,1977-01-15,AF000040930
 -110, -190,,,1977-01-16,AF000040930
  -30, -120,,,1977-01-17,AF000040930
, -120,,,1977-01-18,AF000040930
,,,,1977-01-21,AF000040930
  -80, -130,,,1977-01-23,AF000040930
,,,,1977-01-28,AF000040930
,,,,1977-01-30,AF000040930
  -90,,,,1977-01-31,AF000040930
  -90, -130,,,1977-02-01,AF000040930
  -90,,,,1977-02-04,AF000040930
, -200,,,1977-02-05,AF000040930
,,,,1977-02-06,AF000040930
, -100,,,1977-02-07,AF000040930
,,,,1977-02-08,AF000040930
,,,,1977-02-09,AF000040930
, -110,,,1977-02-11,AF000040930
,,,,1977-02-12,AF000040930
, -120,,,1977-02-13,AF000040930
  -50, -150,,,1977-02-14,AF000040930
, -160,,,1977-02-15,AF000040930
   20,,,,1977-02-16,AF000040930
, -110,,,1977-02-17,AF000040930
   30,,,,1977-02-18,AF000040930
, -120,,,1977-02-19,AF000040930
,,,,1977-02-20,AF000040930
,,,,1977-02-21,AF000040930
    0,,,,1977-02-22,AF000040930
  -10,,,,1977-02-23,AF000040930
,,,,1977-02-24,AF000040930
,,,,1977-02-25,AF000040930
,,,,1977-02-26,AF000040930
  -60, -210,,,1977-02-27,AF000040930
,,,,1977-02-28,AF000040930
  -50,,,,1977-03-01,AF000040930
,,,,1977-03-02,AF000040930
,,,,1977-03-03,AF000040930
,,,,1977-03-05,AF000040930
,,,,1977-03-06,AF000040930
,,,,1977-03-08,AF000040930
,,,,1977-03-09,AF000040930
,,,,1977-03-10,AF000040930
, -120,,,1977-03-11,AF000040930
,  -50,,,1977-03-12,AF000040930
   20,,,,1977-03-14,AF000040930
   10,,,,1977-03-15,AF000040930
  -10,,,,1977-03-16,AF000040930
,,,,1977-03-18,AF000040930
, -130,,,1977-03-19,AF000040930
,  -40,,,1977-03-20,AF000040930
   50,  -30,,,1977-03-21,AF000040930
   90,,,,1977-03-23,AF000040930
,,,,1977-03-24,AF000040930
   40,,,,1977-03-25,AF000040930
,  -50,,,1977-03-26,AF000040930
   40,  -40,,,1977-03-27,AF000040930
,,,,1977-03-28,AF000040930
,,,,1977-03-29,AF000040930
,,,,1977-03-30,AF000040930
,,,,1977-03-31,AF000040930
   30,,,,1977-04-02,AF000040930
,  -30,,,1977-04-24,AF000040930
,,,,1977-04-25,AF000040930
   80,  -10,,,1977-05-10,AF000040930
,,,,1977-05-11,AF000040930
,,,,1977-05-12,AF000040930
,,,,1977-05-15,AF000040930
,,,,1977-05-18,AF000040930
  100,,,,1977-05-20,AF000040930
,    0,,,1977-05-21,AF000040930
,,,,1977-05-23,AF000040930
,,,,1977-05-24,AF000040930
,   50,,,1977-05-25,AF000040930
  130,   40,,,1977-05-26,AF000040930
   90,  -10,,,1977-06-02,AF000040930
,,,,1977-06-07,AF000040930
  110,   30,,,1977-06-08,AF000040930
,   40,,,1977-06-11,AF000040930
  110,,,,1977-06-12,AF000040930
  110,   40,,,1977-06-13,AF000040930
  120,,,,1977-06-15,AF000040930
,   50,,,1977-06-16,AF000040930
  160,,,,1977-06-19,AF000040930
  170,   70,,,1977-06-20,AF000040930
,,,,1977-06-22,AF000040930
,,,,1977-06-24,AF000040930
,   60,,,1977-06-28,AF000040930
,,,,1977-06-30,AF000040930
,   50,,,1977-07-01,AF000040930
,,,,1977-07-03,AF000040930
,   70,,,1977-07-04,AF000040930
,,,,1977-07-07,AF000040930
,   90,,,1977-07-08,AF000040930
  180,  100,,,1977-07-09,AF000040930
,   90,,,1977-07-10,AF000040930
,   90,,,1977-07-11,AF000040930
  140,,,,1977-07-16,AF000040930
,   40,,,1977-07-17,AF000040930
,,,,1977-07-18,AF000040930
,,,,1977-07-19,AF000040930
,,,,1977-07-20,AF000040930
  150,   70,,,1977-07-22,AF000040930
,   50,,,1977-08-02,AF000040930
,   30,,,1977-08-05,AF000040930
,,,,1977-08-06,AF000040930
,,,,1977-08-07,AF000040930
  140,   40,,,1977-08-08,AF000040930
,,,,1977-08-09,AF000040930
,,,,1977-08-10,AF000040930
  160,,,,1977-08-11,AF000040930
,,,,1977-08-12,AF000040930
,,,,1977-08-13,AF000040930
  130,,,,1977-08-14,AF000040930
,,,,1977-08-15,AF000040930
,,,,1977-08-16,AF000040930
,,,,1977-08-17,AF000040930
,,,,1977-08-18,AF000040930
  120,,,,1977-08-21,AF000040930
  130,,,,1977-08-22,AF000040930
,   50,,,1977-08-23,AF000040930
,   40,,,1977-08-24,AF000040930
,,,,1977-08-25,AF000040930
  140,   50,,,1977-08-26,AF000040930
  150,,,,1977-08-29,AF000040930
  140,   30,,,1977-08-30,AF000040930
,,,,1977-09-02,AF000040930
  130,,,,1977-09-05,AF000040930
   90,,,,1977-09-06,AF000040930
,   20,,,1977-09-26,AF000040930
  120,,,,1977-09-27,AF000040930
,  -10,,,1977-09-28,AF000040930
,   10,,,1977-09-29,AF000040930
,,,,1977-09-30,AF000040930
   80,,,,1977-10-01,AF000040930
,  -10,,,1977-10-02,AF000040930
,,,,1977-10-04,AF000040930
  100,,,,1977-10-05,AF000040930
   90,   10,,,1977-10-06,AF000040930
,,,,1977-10-09,AF000040930
   90,   10,,,1977-10-10,AF000040930
  110,   30,,,1977-10-11,AF000040930
  110,    0,,,1977-10-13,AF000040930
   50,  -30,,,1977-10-16,AF000040930
,  -20,,,1977-10-17,AF000040930
,,,,1977-10-21,AF000040930
  120,   60,,,1977-10-22,AF000040930
,,,,1977-10-23,AF000040930
,,,,1977-10-24,AF000040930
,,,,1977-10-26,AF000040930
,   10,,,1977-10-27,AF000040930
   50,,,,1977-10-29,AF000040930
   80,,,,1977-10-31,AF000040930
,   30,,,1977-11-01,AF000040930
,,,,1977-11-02,AF000040930
,,,,1977-11-03,AF000040930
,,,,1977-11-05,AF000040930
,,,,1977-11-07,AF000040930
