TMAX,TMIN,PRCP,SNWD,DATE,STATION
,  130,,,1974-05-16,AFM00040990
  340,,,,1974-05-17,AFM00040990
,,,,1974-05-18,AFM00040990
,,,,1974-05-19,AFM00040990
,,,,1974-05-21,AFM00040990
,,,,1974-05-22,AFM00040990
,,,,1974-05-23,AFM00040990
,,,,1974-05-24,AFM00040990
,  140,,,1974-05-25,AFM00040990
,,,,1974-05-26,AFM00040990
,,,,1974-05-27,AFM00040990
,,,,1974-05-28,AFM00040990
,,,,1974-05-29,AFM00040990
,  150,,,1974-05-31,AFM00040990
,,,,1974-06-02,AFM00040990
,,,,1974-06-03,AFM00040990
,,,,1974-06-04,AFM00040990
,,,,1974-06-06,AFM00040990
,,,,1974-06-09,AFM00040990
,,,,1974-06-10,AFM00040990
,,,,1974-06-23,AFM00040990
,,,,1974-06-25,AFM00040990
,,,,1974-06-29,AFM00040990
,,,,1974-07-02,AFM00040990
  420,,,,1974-07-03,AFM00040990
,  180,,,1974-07-04,AFM00040990
,,,,1974-07-05,AFM00040990
,  190,,,1974-07-06,AFM00040990
,,,,1974-07-07,AFM00040990
,,,,1974-07-08,AFM00040990
,,,,1974-07-09,AFM00040990
,,,,1974-07-10,AFM00040990
,,,,1974-07-12,AFM00040990
,,,,1974-07-14,AFM00040990
,,,,1974-07-15,AFM00040990
,,,,1974-07-16,AFM00040990
,,,,1974-07-19,AFM00040990
,,,,1974-07-20,AFM00040990
,,,,1974-07-21,AFM00040990
,,,,1974-07-23,AFM00040990
,,,,1974-07-25,AFM00040990
,,,,1974-07-26,AFM00040990
,,,,1974-07-27,AFM00040990
,,,,1974-07-28,AFM00040990
  390,,,,1974-07-29,AFM00040990
  390,  180,,,1974-07-30,AFM00040990
,,,,1974-07-31,AFM00040990
  390,,,,1974-08-02,AFM00040990
,,,,1974-08-03,AFM00040990
  390,,,,1974-08-06,AFM00040990
,  180,,,1974-08-07,AFM00040990
,,,,1974-08-08,AFM00040990
,  120,,,1974-08-09,AFM00040990
,,,,1974-08-10,AFM00040990
  370,  140,,,1974-08-18,AFM00040990
  380,,,,1974-08-19,AFM00040990
,,,,1974-08-21,AFM00040990
,,,,1974-08-23,AFM00040990
,  160,,,1974-08-24,AFM00040990
,,,,1974-08-25,AFM00040990
,,,,1974-08-26,AFM00040990
,,,,1974-08-27,AFM00040990
  360,,,,1974-08-28,AFM00040990
,  130,,,1974-08-29,AFM00040990
,,,,1974-08-30,AFM00040990
,,,,1974-08-31,AFM00040990
,,,,1974-09-01,AFM00040990
  330,,,,1974-09-02,AFM00040990
,,,,1974-09-03,AFM00040990
,,,,1974-09-04,AFM00040990
,,,,1974-09-05,AFM00040990
,,,,1974-09-06,AFM00040990
,,,,1974-09-07,AFM00040990
,,,,1974-09-08,AFM00040990
  350,,,,1974-09-09,AFM00040990
,   90,,,1974-09-11,AFM00040990
,,,,1974-09-12,AFM00040990
,,,,1974-09-13,AFM00040990
,,,,1974-09-14,AFM00040990
,  110,,,1974-09-15,AFM00040990
,,,,1974-09-16,AFM00040990
,  100,,,1974-09-17,AFM00040990
,  110,,,1974-09-18,AFM00040990
,,,,1974-09-19,AFM00040990
,,,,1974-09-20,AFM00040990
,,,,1974-09-21,AFM00040990
  360,,,,1974-09-22,AFM00040990
,,,,1974-09-23,AFM00040990
,,,,1974-09-24,AFM00040990
  360,  130,,,1974-09-25,AFM00040990
,,,,1974-09-28,AFM00040990
