TMAX,TMIN,DATE,STATION
  234,   66,1952-05-23,ZI000067865
  216,  117,1952-05-24,ZI000067865
  217,   74,1952-05-25,ZI000067865
  191,   72,1952-05-26,ZI000067865
  242,   93,1952-05-27,ZI000067865
  229,   64,1952-05-28,ZI000067865
  223,  101,1952-05-29,ZI000067865
  225,   76,1952-05-30,ZI000067865
  207,   83,1952-05-31,ZI000067865
  226,   39,1952-06-01,ZI000067865
  233,   86,1952-06-02,ZI000067865
  218,  128,1952-06-03,ZI000067865
  203,  123,1952-06-04,ZI000067865
  212,  116,1952-06-05,ZI000067865
  199,   70,1952-06-06,ZI000067865
  231,   64,1952-06-07,ZI000067865
  239,   69,1952-06-08,ZI000067865
  228,   94,1952-06-09,ZI000067865
  228,   72,1952-06-10,ZI000067865
  226,   99,1952-06-11,ZI000067865
  231,   64,1952-06-12,ZI000067865
  236,   36,1952-06-13,ZI000067865
  238,   49,1952-06-14,ZI000067865
  228,   61,1952-06-15,ZI000067865
  216,   62,1952-06-16,ZI000067865
  229,   72,1952-06-17,ZI000067865
  229,   83,1952-06-18,ZI000067865
  242,   94,1952-06-19,ZI000067865
  232,   98,1952-06-20,ZI000067865
  239,   83,1952-06-21,ZI000067865
  234,  108,1952-06-22,ZI000067865
  234,   72,1952-06-23,ZI000067865
  241,  100,1952-06-24,ZI000067865
  234,   82,1952-06-25,ZI000067865
  243,   72,1952-06-26,ZI000067865
  249,   58,1952-06-27,ZI000067865
  256,   87,1952-06-28,ZI000067865
  227,   29,1952-06-29,ZI000067865
  223,   68,1952-06-30,ZI000067865
  217,   53,1952-07-01,ZI000067865
  210,   21,1952-07-02,ZI000067865
  223,   36,1952-07-03,ZI000067865
  231,   51,1952-07-04,ZI000067865
  240,   44,1952-07-05,ZI000067865
  239,   38,1952-07-06,ZI000067865
  238,   63,1952-07-07,ZI000067865
  239,   54,1952-07-08,ZI000067865
  243,   39,1952-07-09,ZI000067865
  247,   72,1952-07-10,ZI000067865
  236,   81,1952-07-11,ZI000067865
  223,   83,1952-07-12,ZI000067865
  231,   74,1952-07-13,ZI000067865
  229,   71,1952-07-14,ZI000067865
  240,   40,1952-07-15,ZI000067865
  244,   33,1952-07-16,ZI000067865
  250,   70,1952-07-17,ZI000067865
  252,   47,1952-07-18,ZI000067865
  263,   25,1952-07-19,ZI000067865
  261,   33,1952-07-20,ZI000067865
  241,   81,1952-07-21,ZI000067865
  222,   66,1952-07-22,ZI000067865
  232,   79,1952-07-23,ZI000067865
  236,   61,1952-07-24,ZI000067865
  249,   67,1952-07-25,ZI000067865
  273,   29,1952-07-26,ZI000067865
  257,   64,1952-07-27,ZI000067865
  238,   69,1952-07-28,ZI000067865
  189,   95,1952-07-29,ZI000067865
  206,   62,1952-07-30,ZI000067865
  204,  102,1952-07-31,ZI000067865
  208,   56,1952-08-01,ZI000067865
  222,   31,1952-08-02,ZI000067865
  228,   51,1952-08-03,ZI000067865
  236,   64,1952-08-04,ZI000067865
  258,   43,1952-08-05,ZI000067865
  274,   56,1952-08-06,ZI000067865
  287,   67,1952-08-07,ZI000067865
  258,   91,1952-08-08,ZI000067865
  247,  104,1952-08-09,ZI000067865
  270,   72,1952-08-10,ZI000067865
  273,   64,1952-08-11,ZI000067865
  267,   81,1952-08-12,ZI000067865
  256,   84,1952-08-13,ZI000067865
  253,   86,1952-08-14,ZI000067865
  242,   83,1952-08-15,ZI000067865
  252,   76,1952-08-16,ZI000067865
  253,   96,1952-08-17,ZI000067865
  269,   96,1952-08-18,ZI000067865
  282,   68,1952-08-19,ZI000067865
  291,   81,1952-08-20,ZI000067865
  272,  101,1952-08-21,ZI000067865
  268,   97,1952-08-22,ZI000067865
  283,   68,1952-08-23,ZI000067865
  305,   83,1952-08-24,ZI000067865
  316,   88,1952-08-25,ZI000067865
  321,  126,1952-08-26,ZI000067865
  320,  102,1952-08-27,ZI000067865
  329,  142,1952-08-28,ZI000067865
  306,  118,1952-08-29,ZI000067865
  302,  118,1952-08-30,ZI000067865
  299,  108,1952-08-31,ZI000067865
  311,   97,1952-09-01,ZI000067865
  307,  125,1952-09-02,ZI000067865
  303,  151,1952-09-03,ZI000067865
  246,  147,1952-09-04,ZI000067865
  290,   82,1952-09-05,ZI000067865
  281,  118,1952-09-06,ZI000067865
  284,  102,1952-09-07,ZI000067865
  297,  103,1952-09-08,ZI000067865
  322,  104,1952-09-09,ZI000067865
  326,  117,1952-09-10,ZI000067865
  340,  124,1952-09-11,ZI000067865
  340,  129,1952-09-12,ZI000067865
  342,  158,1952-09-13,ZI000067865
  322,  153,1952-09-14,ZI000067865
  328,  138,1952-09-15,ZI000067865
  271,  149,1952-09-16,ZI000067865
  173,  106,1952-09-17,ZI000067865
  190,   92,1952-09-18,ZI000067865
  201,   67,1952-09-19,ZI000067865
  233,   53,1952-09-20,ZI000067865
  238,   77,1952-09-21,ZI000067865
  256,   77,1952-09-22,ZI000067865
  279,   99,1952-09-23,ZI000067865
  311,  126,1952-09-24,ZI000067865
  336,  131,1952-09-25,ZI000067865
  327,  167,1952-09-26,ZI000067865
  341,  162,1952-09-27,ZI000067865
  334,  169,1952-09-28,ZI000067865
  343,  149,1952-09-29,ZI000067865
  354,  183,1952-09-30,ZI000067865
  348,  188,1952-10-01,ZI000067865
  342,  188,1952-10-02,ZI000067865
  327,  170,1952-10-03,ZI000067865
  285,  178,1952-10-04,ZI000067865
  315,  162,1952-10-05,ZI000067865
  293,  161,1952-10-06,ZI000067865
  261,  143,1952-10-07,ZI000067865
  281,  118,1952-10-08,ZI000067865
  311,  139,1952-10-09,ZI000067865
  327,  159,1952-10-10,ZI000067865
  348,  167,1952-10-11,ZI000067865
  341,  202,1952-10-12,ZI000067865
  294,  167,1952-10-13,ZI000067865
  303,  152,1952-10-14,ZI000067865
  312,  151,1952-10-15,ZI000067865
  314,  180,1952-10-16,ZI000067865
  298,  161,1952-10-17,ZI000067865
  252,  156,1952-10-18,ZI000067865
  255,  145,1952-10-19,ZI000067865
  292,  152,1952-10-20,ZI000067865
  312,  149,1952-10-21,ZI000067865
  322,  153,1952-10-22,ZI000067865
  330,  147,1952-10-23,ZI000067865
  333,  131,1952-10-24,ZI000067865
  343,  169,1952-10-25,ZI000067865
  312,  206,1952-10-26,ZI000067865
  312,  153,1952-10-27,ZI000067865
  321,  181,1952-10-28,ZI000067865
  286,  194,1952-10-29,ZI000067865
  304,  180,1952-10-30,ZI000067865
  321,  169,1952-10-31,ZI000067865
  320,  185,1952-11-01,ZI000067865
  309,  175,1952-11-02,ZI000067865
  254,  184,1952-11-03,ZI000067865
  262,  189,1952-11-04,ZI000067865
  214,  179,1952-11-05,ZI000067865
  268,  178,1952-11-06,ZI000067865
  267,  178,1952-11-07,ZI000067865
  225,  175,1952-11-08,ZI000067865
  246,  166,1952-11-09,ZI000067865
  253,  173,1952-11-10,ZI000067865
  214,  161,1952-11-11,ZI000067865
  238,  157,1952-11-12,ZI000067865
  239,  142,1952-11-13,ZI000067865
  251,  139,1952-11-14,ZI000067865
  269,  111,1952-11-15,ZI000067865
  269,  111,1952-11-16,ZI000067865
  297,  121,1952-11-17,ZI000067865
  307,  125,1952-11-18,ZI000067865
  326,  144,1952-11-19,ZI000067865
  334,  174,1952-11-20,ZI000067865
  339,  168,1952-11-21,ZI000067865
  311,  196,1952-11-22,ZI000067865
  297,  197,1952-11-23,ZI000067865
  299,  181,1952-11-24,ZI000067865
  266,  170,1952-11-25,ZI000067865
  268,  171,1952-11-26,ZI000067865
  299,  166,1952-11-27,ZI000067865
  316,  163,1952-11-28,ZI000067865
  293,  174,1952-11-29,ZI000067865
  302,  156,1952-11-30,ZI000067865
  321,  155,1952-12-01,ZI000067865
  323,  158,1952-12-02,ZI000067865
  252,  183,1952-12-03,ZI000067865
  274,  170,1952-12-04,ZI000067865
  264,  168,1952-12-05,ZI000067865
  289,  169,1952-12-06,ZI000067865
  292,  162,1952-12-07,ZI000067865
  288,  172,1952-12-08,ZI000067865
  308,  170,1952-12-09,ZI000067865
