PRCP,DATE,STATION
    0,1977-12-08,AJ000037605
    2,1977-12-09,AJ000037605
    1,1977-12-10,AJ000037605
    4,1977-12-11,AJ000037605
    3,1977-12-12,AJ000037605
    0,1977-12-13,AJ000037605
   26,1977-12-14,AJ000037605
    0,1977-12-15,AJ000037605
    0,1977-12-16,AJ000037605
    0,1977-12-17,AJ000037605
    0,1977-12-18,AJ000037605
    0,1977-12-19,AJ000037605
    0,1977-12-20,AJ000037605
    0,1977-12-21,AJ000037605
    3,1977-12-22,AJ000037605
    2,1977-12-23,AJ000037605
    4,1977-12-24,AJ000037605
    0,1977-12-25,AJ000037605
    0,1977-12-26,AJ000037605
    0,1977-12-27,AJ000037605
    0,1977-12-28,AJ000037605
    0,1977-12-29,AJ000037605
    0,1977-12-30,AJ000037605
    0,1977-12-31,AJ000037605
    0,1978-01-01,AJ000037605
    0,1978-01-02,AJ000037605
    2,1978-01-03,AJ000037605
   75,1978-01-04,AJ000037605
   19,1978-01-05,AJ000037605
    0,1978-01-06,AJ000037605
    0,1978-01-07,AJ000037605
   25,1978-01-08,AJ000037605
  106,1978-01-09,AJ000037605
   26,1978-01-10,AJ000037605
    0,1978-01-11,AJ000037605
    0,1978-01-12,AJ000037605
    0,1978-01-13,AJ000037605
    0,1978-01-14,AJ000037605
    0,1978-01-15,AJ000037605
    9,1978-01-16,AJ000037605
   16,1978-01-17,AJ000037605
    8,1978-01-18,AJ000037605
    6,1978-01-19,AJ000037605
   16,1978-01-20,AJ000037605
   67,1978-01-21,AJ000037605
    0,1978-01-22,AJ000037605
    0,1978-01-23,AJ000037605
   24,1978-01-24,AJ000037605
    0,1978-01-25,AJ000037605
    0,1978-01-26,AJ000037605
   14,1978-01-27,AJ000037605
    6,1978-01-28,AJ000037605
    5,1978-01-29,AJ000037605
    0,1978-01-30,AJ000037605
    0,1978-01-31,AJ000037605
    0,1978-02-01,AJ000037605
    0,1978-02-02,AJ000037605
   21,1978-02-03,AJ000037605
   12,1978-02-04,AJ000037605
    0,1978-02-05,AJ000037605
    0,1978-02-06,AJ000037605
   61,1978-02-07,AJ000037605
    0,1978-02-08,AJ000037605
    0,1978-02-09,AJ000037605
    0,1978-02-10,AJ000037605
   31,1978-02-11,AJ000037605
    0,1978-02-12,AJ000037605
    6,1978-02-13,AJ000037605
    0,1978-02-14,AJ000037605
    0,1978-02-15,AJ000037605
    0,1978-02-16,AJ000037605
   75,1978-02-17,AJ000037605
   80,1978-02-18,AJ000037605
    0,1978-02-19,AJ000037605
    0,1978-02-20,AJ000037605
    2,1978-02-21,AJ000037605
   28,1978-02-22,AJ000037605
    0,1978-02-23,AJ000037605
    0,1978-02-24,AJ000037605
    0,1978-02-25,AJ000037605
    0,1978-02-26,AJ000037605
    0,1978-02-27,AJ000037605
    0,1978-02-28,AJ000037605
    0,1978-03-01,AJ000037605
    0,1978-03-02,AJ000037605
    4,1978-03-03,AJ000037605
    0,1978-03-04,AJ000037605
    0,1978-03-05,AJ000037605
    0,1978-03-06,AJ000037605
    0,1978-03-07,AJ000037605
    0,1978-03-08,AJ000037605
    0,1978-03-09,AJ000037605
    3,1978-03-10,AJ000037605
   26,1978-03-11,AJ000037605
   20,1978-03-12,AJ000037605
    2,1978-03-13,AJ000037605
   19,1978-03-14,AJ000037605
    4,1978-03-15,AJ000037605
    0,1978-03-16,AJ000037605
    0,1978-03-17,AJ000037605
    0,1978-03-18,AJ000037605
    0,1978-03-19,AJ000037605
    0,1978-03-20,AJ000037605
    0,1978-03-21,AJ000037605
    0,1978-03-22,AJ000037605
    0,1978-03-23,AJ000037605
   17,1978-03-24,AJ000037605
   36,1978-03-25,AJ000037605
    0,1978-03-26,AJ000037605
    0,1978-03-27,AJ000037605
   39,1978-03-28,AJ000037605
    0,1978-03-29,AJ000037605
   68,1978-03-30,AJ000037605
   69,1978-03-31,AJ000037605
    0,1978-04-01,AJ000037605
   14,1978-04-02,AJ000037605
   41,1978-04-03,AJ000037605
   54,1978-04-04,AJ000037605
    0,1978-04-05,AJ000037605
  123,1978-04-06,AJ000037605
   14,1978-04-07,AJ000037605
   25,1978-04-08,AJ000037605
   12,1978-04-09,AJ000037605
   92,1978-04-10,AJ000037605
   28,1978-04-11,AJ000037605
    0,1978-04-12,AJ000037605
    0,1978-04-13,AJ000037605
    0,1978-04-14,AJ000037605
    0,1978-04-15,AJ000037605
    0,1978-04-16,AJ000037605
    4,1978-04-17,AJ000037605
   94,1978-04-18,AJ000037605
   16,1978-04-19,AJ000037605
   38,1978-04-20,AJ000037605
    7,1978-04-21,AJ000037605
   35,1978-04-22,AJ000037605
   24,1978-04-23,AJ000037605
   49,1978-04-24,AJ000037605
  188,1978-04-25,AJ000037605
    9,1978-04-26,AJ000037605
   11,1978-04-27,AJ000037605
    0,1978-04-28,AJ000037605
   31,1978-04-29,AJ000037605
  106,1978-04-30,AJ000037605
    0,1978-05-01,AJ000037605
    0,1978-05-02,AJ000037605
    0,1978-05-03,AJ000037605
   93,1978-05-04,AJ000037605
   24,1978-05-05,AJ000037605
  149,1978-05-06,AJ000037605
   39,1978-05-07,AJ000037605
   27,1978-05-08,AJ000037605
    0,1978-05-09,AJ000037605
    0,1978-05-10,AJ000037605
   13,1978-05-11,AJ000037605
    0,1978-05-12,AJ000037605
    8,1978-05-13,AJ000037605
   10,1978-05-14,AJ000037605
    0,1978-05-15,AJ000037605
    0,1978-05-16,AJ000037605
   10,1978-05-17,AJ000037605
    0,1978-05-18,AJ000037605
    0,1978-05-19,AJ000037605
    0,1978-05-20,AJ000037605
    0,1978-05-21,AJ000037605
    0,1978-05-22,AJ000037605
    0,1978-05-23,AJ000037605
    3,1978-05-24,AJ000037605
   79,1978-05-25,AJ000037605
   13,1978-05-26,AJ000037605
  109,1978-05-27,AJ000037605
    0,1978-05-28,AJ000037605
   68,1978-05-29,AJ000037605
   52,1978-05-30,AJ000037605
   68,1978-05-31,AJ000037605
   45,1978-06-01,AJ000037605
    2,1978-06-02,AJ000037605
    0,1978-06-03,AJ000037605
    6,1978-06-04,AJ000037605
   31,1978-06-05,AJ000037605
   45,1978-06-06,AJ000037605
    0,1978-06-07,AJ000037605
