PRCP,DATE,STATION
    0,1964-12-04,BR047027080
    0,1964-12-05,BR047027080
  580,1964-12-06,BR047027080
    0,1964-12-07,BR047027080
   21,1964-12-08,BR047027080
    0,1964-12-09,BR047027080
    0,1964-12-10,BR047027080
    0,1964-12-11,BR047027080
    0,1964-12-12,BR047027080
    0,1964-12-13,BR047027080
    0,1964-12-14,BR047027080
    0,1964-12-15,BR047027080
    0,1964-12-16,BR047027080
    0,1964-12-17,BR047027080
    0,1964-12-18,BR047027080
    0,1964-12-19,BR047027080
   80,1964-12-20,BR047027080
    0,1964-12-21,BR047027080
    0,1964-12-22,BR047027080
    0,1964-12-23,BR047027080
    0,1964-12-24,BR047027080
    0,1964-12-25,BR047027080
    0,1964-12-26,BR047027080
    0,1964-12-27,BR047027080
    0,1964-12-28,BR047027080
   80,1964-12-29,BR047027080
    0,1964-12-30,BR047027080
    0,1964-12-31,BR047027080
   60,1965-01-01,BR047027080
    0,1965-01-02,BR047027080
    0,1965-01-03,BR047027080
    0,1965-01-04,BR047027080
    0,1965-01-05,BR047027080
    0,1965-01-06,BR047027080
  146,1965-01-07,BR047027080
    0,1965-01-08,BR047027080
  126,1965-01-09,BR047027080
    0,1965-01-10,BR047027080
    0,1965-01-11,BR047027080
    0,1965-01-12,BR047027080
    0,1965-01-13,BR047027080
    0,1965-01-14,BR047027080
    0,1965-01-15,BR047027080
    0,1965-01-16,BR047027080
    0,1965-01-17,BR047027080
    0,1965-01-18,BR047027080
   56,1965-01-19,BR047027080
    0,1965-01-20,BR047027080
   82,1965-01-21,BR047027080
  572,1965-01-22,BR047027080
    0,1965-01-23,BR047027080
    0,1965-01-24,BR047027080
    0,1965-01-25,BR047027080
    0,1965-01-26,BR047027080
   74,1965-01-27,BR047027080
  370,1965-01-28,BR047027080
    0,1965-01-29,BR047027080
    0,1965-01-30,BR047027080
    0,1965-01-31,BR047027080
    0,1965-02-01,BR047027080
    0,1965-02-02,BR047027080
    0,1965-02-03,BR047027080
    0,1965-02-04,BR047027080
    0,1965-02-05,BR047027080
  320,1965-02-06,BR047027080
    0,1965-02-07,BR047027080
    0,1965-02-08,BR047027080
   70,1965-02-09,BR047027080
    0,1965-02-10,BR047027080
    0,1965-02-11,BR047027080
    0,1965-02-12,BR047027080
    0,1965-02-13,BR047027080
    0,1965-02-14,BR047027080
    0,1965-02-15,BR047027080
    0,1965-02-16,BR047027080
   60,1965-02-17,BR047027080
    0,1965-02-18,BR047027080
    0,1965-02-19,BR047027080
    2,1965-02-20,BR047027080
   10,1965-02-21,BR047027080
    0,1965-02-22,BR047027080
    0,1965-02-23,BR047027080
    0,1965-02-24,BR047027080
  102,1965-02-25,BR047027080
    0,1965-02-26,BR047027080
    0,1965-02-27,BR047027080
    0,1965-02-28,BR047027080
    0,1965-03-01,BR047027080
    0,1965-03-02,BR047027080
    0,1965-03-03,BR047027080
    0,1965-03-04,BR047027080
  150,1965-03-05,BR047027080
  188,1965-03-06,BR047027080
    0,1965-03-07,BR047027080
    0,1965-03-08,BR047027080
    0,1965-03-09,BR047027080
    0,1965-03-10,BR047027080
    0,1965-03-11,BR047027080
  204,1965-03-12,BR047027080
    0,1965-03-13,BR047027080
    0,1965-03-14,BR047027080
    0,1965-03-15,BR047027080
  220,1965-03-16,BR047027080
    0,1965-03-17,BR047027080
   84,1965-03-18,BR047027080
    0,1965-03-19,BR047027080
  170,1965-03-20,BR047027080
  350,1965-03-21,BR047027080
    0,1965-03-22,BR047027080
   20,1965-03-23,BR047027080
    0,1965-03-24,BR047027080
    0,1965-03-25,BR047027080
    0,1965-03-26,BR047027080
  110,1965-03-27,BR047027080
    0,1965-03-28,BR047027080
  250,1965-03-29,BR047027080
   30,1965-03-30,BR047027080
    0,1965-03-31,BR047027080
  162,1965-04-01,BR047027080
    0,1965-04-02,BR047027080
   16,1965-04-03,BR047027080
    0,1965-04-04,BR047027080
    0,1965-04-05,BR047027080
    0,1965-04-06,BR047027080
    0,1965-04-07,BR047027080
    0,1965-04-08,BR047027080
    0,1965-04-09,BR047027080
  250,1965-04-10,BR047027080
  300,1965-04-11,BR047027080
  310,1965-04-12,BR047027080
    0,1965-04-13,BR047027080
  154,1965-04-14,BR047027080
  300,1965-04-15,BR047027080
   41,1965-04-16,BR047027080
