PRCP,SNOW,DATE,STATION
,,2019-12-01,US1KYSH0012
   20,,2019-12-02,US1KYSH0012
    0,    0,2019-12-03,US1KYSH0012
    0,    0,2019-12-04,US1KYSH0012
  343,,2020-02-13,US1KYSH0012
    0,    0,2020-03-24,US1KYSH0012
   89,,2020-03-25,US1KYSH0012
    0,    0,2020-03-26,US1KYSH0012
    0,    0,2020-03-27,US1KYSH0012
    0,    0,2020-03-28,US1KYSH0012
   79,,2020-03-29,US1KYSH0012
    0,    0,2020-03-30,US1KYSH0012
    0,    0,2020-03-31,US1KYSH0012
    8,,2020-04-01,US1KYSH0012
    0,    0,2020-04-02,US1KYSH0012
    0,    0,2020-04-03,US1KYSH0012
    0,    0,2020-04-04,US1KYSH0012
   13,,2020-04-05,US1KYSH0012
    0,    0,2020-04-06,US1KYSH0012
    0,    0,2020-04-07,US1KYSH0012
    0,    0,2020-04-08,US1KYSH0012
   94,,2020-04-09,US1KYSH0012
   10,,2020-04-10,US1KYSH0012
    0,    0,2020-04-11,US1KYSH0012
    0,    0,2020-04-12,US1KYSH0012
  259,    0,2020-04-13,US1KYSH0012
    0,    0,2020-04-14,US1KYSH0012
    0,    0,2020-04-15,US1KYSH0012
    0,    0,2020-04-16,US1KYSH0012
    0,    0,2020-04-17,US1KYSH0012
  102,,2020-04-18,US1KYSH0012
    0,    0,2020-04-19,US1KYSH0012
    0,    0,2020-04-20,US1KYSH0012
    0,    0,2020-04-21,US1KYSH0012
    0,    0,2020-04-22,US1KYSH0012
    8,,2020-04-23,US1KYSH0012
  318,,2020-04-24,US1KYSH0012
    0,    0,2020-04-25,US1KYSH0012
  274,,2020-04-26,US1KYSH0012
   10,,2020-04-27,US1KYSH0012
    5,,2020-04-28,US1KYSH0012
    0,    0,2020-04-29,US1KYSH0012
   38,,2020-04-30,US1KYSH0012
   48,,2020-05-01,US1KYSH0012
    0,    0,2020-05-02,US1KYSH0012
    0,    0,2020-05-03,US1KYSH0012
   51,,2020-05-04,US1KYSH0012
   66,,2020-05-05,US1KYSH0012
   20,,2020-05-06,US1KYSH0012
    0,    0,2020-05-07,US1KYSH0012
    0,,2020-05-08,US1KYSH0012
  185,,2020-05-09,US1KYSH0012
    0,    0,2020-05-10,US1KYSH0012
   10,,2020-05-11,US1KYSH0012
    0,    0,2020-05-12,US1KYSH0012
    3,,2020-05-13,US1KYSH0012
   33,,2020-05-14,US1KYSH0012
   28,,2020-05-15,US1KYSH0012
  234,,2020-05-16,US1KYSH0012
   64,,2020-05-17,US1KYSH0012
    8,,2020-05-18,US1KYSH0012
  249,,2020-05-19,US1KYSH0012
   30,,2020-05-20,US1KYSH0012
    0,    0,2020-05-21,US1KYSH0012
    0,    0,2020-05-22,US1KYSH0012
    3,,2020-05-23,US1KYSH0012
  338,,2020-05-24,US1KYSH0012
    0,    0,2020-05-25,US1KYSH0012
   20,,2020-05-26,US1KYSH0012
    3,,2020-05-27,US1KYSH0012
    8,,2020-05-28,US1KYSH0012
    5,,2020-05-29,US1KYSH0012
   20,,2020-05-30,US1KYSH0012
    0,    0,2020-05-31,US1KYSH0012
    0,    0,2020-06-01,US1KYSH0012
    0,    0,2020-06-02,US1KYSH0012
    0,    0,2020-06-03,US1KYSH0012
    0,    0,2020-06-04,US1KYSH0012
   53,,2020-06-05,US1KYSH0012
    0,    0,2020-06-06,US1KYSH0012
    0,    0,2020-06-07,US1KYSH0012
    0,    0,2020-06-08,US1KYSH0012
    0,    0,2020-06-09,US1KYSH0012
    0,    0,2020-06-10,US1KYSH0012
    0,    0,2020-06-11,US1KYSH0012
    0,    0,2020-06-12,US1KYSH0012
    0,    0,2020-06-13,US1KYSH0012
    0,,2020-06-14,US1KYSH0012
    0,,2020-06-15,US1KYSH0012
    0,    0,2020-06-16,US1KYSH0012
    0,    0,2020-06-17,US1KYSH0012
    0,    0,2020-06-18,US1KYSH0012
    0,,2020-06-19,US1KYSH0012
    0,    0,2020-06-20,US1KYSH0012
    0,    0,2020-06-21,US1KYSH0012
  351,,2020-06-22,US1KYSH0012
   91,,2020-06-23,US1KYSH0012
   25,,2020-06-24,US1KYSH0012
    0,    0,2020-06-25,US1KYSH0012
    0,    0,2020-06-26,US1KYSH0012
    0,    0,2020-06-27,US1KYSH0012
   18,,2020-06-28,US1KYSH0012
  152,,2020-06-29,US1KYSH0012
  340,,2020-06-30,US1KYSH0012
    0,    0,2020-07-01,US1KYSH0012
    0,    0,2020-07-02,US1KYSH0012
    0,    0,2020-07-03,US1KYSH0012
    0,    0,2020-07-04,US1KYSH0012
    0,    0,2020-07-05,US1KYSH0012
    0,    0,2020-07-06,US1KYSH0012
    0,    0,2020-07-07,US1KYSH0012
    0,    0,2020-07-08,US1KYSH0012
    3,,2020-07-09,US1KYSH0012
    8,,2020-07-10,US1KYSH0012
    0,    0,2020-07-11,US1KYSH0012
  259,,2020-07-12,US1KYSH0012
    0,    0,2020-07-13,US1KYSH0012
    0,    0,2020-07-14,US1KYSH0012
    0,    0,2020-07-15,US1KYSH0012
    0,    0,2020-07-16,US1KYSH0012
    0,    0,2020-07-17,US1KYSH0012
    0,    0,2020-07-18,US1KYSH0012
    0,    0,2020-07-19,US1KYSH0012
    0,    0,2020-07-20,US1KYSH0012
    5,,2020-07-21,US1KYSH0012
    8,,2020-07-22,US1KYSH0012
   53,,2020-07-23,US1KYSH0012
  157,,2020-07-24,US1KYSH0012
    0,    0,2020-07-25,US1KYSH0012
    0,    0,2020-07-26,US1KYSH0012
    0,    0,2020-07-27,US1KYSH0012
    0,    0,2020-07-28,US1KYSH0012
    0,    0,2020-07-29,US1KYSH0012
    0,    0,2020-07-30,US1KYSH0012
  869,,2020-07-31,US1KYSH0012
   13,,2020-08-01,US1KYSH0012
  152,,2020-08-02,US1KYSH0012
    0,,2020-08-03,US1KYSH0012
   18,,2020-08-04,US1KYSH0012
    0,    0,2020-08-05,US1KYSH0012
    0,    0,2020-08-06,US1KYSH0012
    0,    0,2020-08-07,US1KYSH0012
    0,    0,2020-08-08,US1KYSH0012
    0,    0,2020-08-09,US1KYSH0012
    0,    0,2020-08-10,US1KYSH0012
  163,,2020-08-11,US1KYSH0012
    0,    0,2020-08-12,US1KYSH0012
    0,    0,2020-08-13,US1KYSH0012
    0,    0,2020-08-14,US1KYSH0012
   64,,2020-08-15,US1KYSH0012
    0,    0,2020-08-16,US1KYSH0012
    0,    0,2020-08-17,US1KYSH0012
    0,    0,2020-08-18,US1KYSH0012
  538,,2020-08-19,US1KYSH0012
    0,    0,2020-08-20,US1KYSH0012
    0,    0,2020-08-21,US1KYSH0012
    5,,2020-08-22,US1KYSH0012
    0,    0,2020-08-23,US1KYSH0012
    0,    0,2020-08-24,US1KYSH0012
    0,    0,2020-08-25,US1KYSH0012
    0,    0,2020-08-26,US1KYSH0012
    0,    0,2020-08-27,US1KYSH0012
    0,,2020-08-28,US1KYSH0012
  279,,2020-08-29,US1KYSH0012
    0,,2020-08-30,US1KYSH0012
  102,,2020-08-31,US1KYSH0012
   13,,2020-09-01,US1KYSH0012
  102,,2020-09-02,US1KYSH0012
  269,,2020-09-03,US1KYSH0012
   89,,2020-09-04,US1KYSH0012
    0,    0,2020-09-05,US1KYSH0012
    0,    0,2020-09-06,US1KYSH0012
    0,    0,2020-09-07,US1KYSH0012
    0,    0,2020-09-08,US1KYSH0012
    0,    0,2020-09-09,US1KYSH0012
    0,    0,2020-09-10,US1KYSH0012
    0,    0,2020-09-11,US1KYSH0012
    0,    0,2020-09-12,US1KYSH0012
   25,,2020-09-13,US1KYSH0012
    3,,2020-09-14,US1KYSH0012
    0,    0,2020-09-15,US1KYSH0012
    0,    0,2020-09-16,US1KYSH0012
    0,    0,2020-09-17,US1KYSH0012
    0,    0,2020-09-18,US1KYSH0012
