PRCP,SNOW,SNWD,DATE,STATION
   64,,,2010-11-14,US1KYSM0002
    0,    0,,2010-11-15,US1KYSM0002
    0,    0,,2010-11-16,US1KYSM0002
  216,,,2010-11-17,US1KYSM0002
    0,    0,,2010-11-18,US1KYSM0002
    0,    0,,2010-11-19,US1KYSM0002
    0,    0,,2010-11-20,US1KYSM0002
    0,    0,,2010-11-21,US1KYSM0002
    0,    0,,2010-11-22,US1KYSM0002
  348,,,2010-11-23,US1KYSM0002
    0,    0,,2010-11-24,US1KYSM0002
   79,,,2010-11-25,US1KYSM0002
  318,    0,    0,2010-11-26,US1KYSM0002
    0,    0,,2010-11-27,US1KYSM0002
    0,    0,,2010-11-28,US1KYSM0002
,,,2010-11-30,US1KYSM0002
    0,    0,,2010-12-01,US1KYSM0002
    0,    0,,2010-12-02,US1KYSM0002
    0,    0,,2010-12-03,US1KYSM0002
   10,,,2010-12-04,US1KYSM0002
    0,    0,,2010-12-05,US1KYSM0002
    0,    0,    0,2010-12-06,US1KYSM0002
    0,    0,,2010-12-07,US1KYSM0002
    0,    0,,2010-12-08,US1KYSM0002
    0,    0,,2010-12-09,US1KYSM0002
    0,    0,,2010-12-10,US1KYSM0002
    0,    0,,2010-12-11,US1KYSM0002
  107,,,2010-12-12,US1KYSM0002
   51,   51,   51,2010-12-13,US1KYSM0002
    0,    0,,2010-12-14,US1KYSM0002
   76,,,2010-12-15,US1KYSM0002
    0,    0,,2010-12-16,US1KYSM0002
    0,    0,,2010-12-17,US1KYSM0002
    0,    0,,2010-12-18,US1KYSM0002
    0,    0,,2010-12-19,US1KYSM0002
   64,   76,,2010-12-25,US1KYSM0002
   25,   25,  102,2010-12-26,US1KYSM0002
   86,,,2010-12-30,US1KYSM0002
   79,,,2011-01-01,US1KYSM0002
    0,    0,,2011-01-02,US1KYSM0002
    0,    0,,2011-01-03,US1KYSM0002
    0,    0,,2011-01-04,US1KYSM0002
    0,    0,,2011-01-05,US1KYSM0002
    0,    0,,2011-01-06,US1KYSM0002
    0,    0,,2011-01-07,US1KYSM0002
   25,   25,,2011-01-08,US1KYSM0002
    0,    0,,2011-01-09,US1KYSM0002
,,   38,2011-01-11,US1KYSM0002
    0,    0,,2011-01-12,US1KYSM0002
    0,    0,,2011-01-13,US1KYSM0002
    0,    0,,2011-01-14,US1KYSM0002
    0,    0,,2011-01-15,US1KYSM0002
    0,    0,,2011-01-16,US1KYSM0002
    0,    0,,2011-01-17,US1KYSM0002
  135,,,2011-01-18,US1KYSM0002
    0,    0,,2011-01-19,US1KYSM0002
    0,    0,,2011-01-20,US1KYSM0002
    0,    0,,2011-01-21,US1KYSM0002
    0,    0,,2011-01-22,US1KYSM0002
    0,    0,,2011-01-23,US1KYSM0002
    0,    0,,2011-01-24,US1KYSM0002
    0,    0,,2011-01-25,US1KYSM0002
  155,   64,,2011-01-26,US1KYSM0002
    0,    0,,2011-01-27,US1KYSM0002
    0,    0,,2011-01-28,US1KYSM0002
    0,    0,,2011-01-29,US1KYSM0002
    0,    0,,2011-01-30,US1KYSM0002
    0,    0,,2011-01-31,US1KYSM0002
  211,,,2011-02-01,US1KYSM0002
    0,    0,,2011-02-02,US1KYSM0002
    0,    0,,2011-02-03,US1KYSM0002
    0,    0,,2011-02-04,US1KYSM0002
   25,,,2011-02-05,US1KYSM0002
    0,    0,,2011-02-06,US1KYSM0002
,,   70,2011-02-08,US1KYSM0002
    0,    0,,2011-02-09,US1KYSM0002
   79,   81,,2011-02-10,US1KYSM0002
    0,    0,,2011-02-11,US1KYSM0002
    0,    0,,2011-02-12,US1KYSM0002
    0,    0,,2011-02-13,US1KYSM0002
    0,    0,,2011-02-14,US1KYSM0002
    0,    0,,2011-02-15,US1KYSM0002
    0,    0,,2011-02-16,US1KYSM0002
    0,    0,,2011-02-17,US1KYSM0002
    0,    0,,2011-02-18,US1KYSM0002
   25,,,2011-02-19,US1KYSM0002
   13,,,2011-02-20,US1KYSM0002
    0,    0,,2011-02-21,US1KYSM0002
   71,,,2011-02-22,US1KYSM0002
    0,    0,,2011-02-23,US1KYSM0002
,,,2011-02-25,US1KYSM0002
    0,    0,,2011-02-26,US1KYSM0002
   13,,,2011-02-27,US1KYSM0002
  480,,,2011-02-28,US1KYSM0002
    0,    0,,2011-03-01,US1KYSM0002
    0,    0,,2011-03-02,US1KYSM0002
    0,    0,,2011-03-03,US1KYSM0002
    0,    0,,2011-03-04,US1KYSM0002
  312,,,2011-03-05,US1KYSM0002
   38,,,2011-03-06,US1KYSM0002
    0,    0,,2011-03-07,US1KYSM0002
    0,    0,,2011-03-08,US1KYSM0002
  216,,,2011-03-09,US1KYSM0002
,,,2011-03-11,US1KYSM0002
    0,    0,,2011-03-12,US1KYSM0002
    0,    0,,2011-03-13,US1KYSM0002
,,,2011-03-15,US1KYSM0002
    0,    0,,2011-03-16,US1KYSM0002
    0,    0,,2011-03-17,US1KYSM0002
    0,    0,,2011-03-18,US1KYSM0002
    0,    0,,2011-03-19,US1KYSM0002
    0,    0,,2011-03-20,US1KYSM0002
    0,    0,,2011-03-21,US1KYSM0002
    0,    0,,2011-03-22,US1KYSM0002
    0,    0,,2011-03-23,US1KYSM0002
   18,,,2011-03-24,US1KYSM0002
    0,    0,,2011-03-25,US1KYSM0002
   43,,,2011-03-26,US1KYSM0002
,,,2011-03-28,US1KYSM0002
    0,    0,,2011-03-29,US1KYSM0002
  224,,,2011-03-30,US1KYSM0002
    0,    0,,2011-03-31,US1KYSM0002
    0,    0,,2011-04-01,US1KYSM0002
    0,    0,,2011-04-02,US1KYSM0002
    0,    0,,2011-04-03,US1KYSM0002
,,,2011-04-06,US1KYSM0002
    0,    0,,2011-04-07,US1KYSM0002
    0,    0,,2011-04-08,US1KYSM0002
    0,    0,,2011-04-09,US1KYSM0002
    0,    0,,2011-04-10,US1KYSM0002
    0,    0,,2011-04-11,US1KYSM0002
  574,,,2011-04-12,US1KYSM0002
    0,    0,,2011-04-13,US1KYSM0002
    0,    0,,2011-04-14,US1KYSM0002
   86,,,2011-04-15,US1KYSM0002
   97,,,2011-04-16,US1KYSM0002
    3,,,2011-04-17,US1KYSM0002
    0,    0,,2011-04-18,US1KYSM0002
    0,    0,,2011-04-19,US1KYSM0002
  107,,,2011-04-20,US1KYSM0002
    0,    0,,2011-04-21,US1KYSM0002
   20,,,2011-04-22,US1KYSM0002
   48,,,2011-04-23,US1KYSM0002
  178,,,2011-04-24,US1KYSM0002
   79,,,2011-04-25,US1KYSM0002
  185,,,2011-04-26,US1KYSM0002
  721,,,2011-04-27,US1KYSM0002
,    0,,2011-04-28,US1KYSM0002
    0,    0,,2011-04-29,US1KYSM0002
    0,    0,,2011-04-30,US1KYSM0002
  193,,,2011-05-01,US1KYSM0002
   74,,,2011-05-02,US1KYSM0002
  592,,,2011-05-03,US1KYSM0002
    0,    0,,2011-05-04,US1KYSM0002
    0,    0,,2011-05-05,US1KYSM0002
    0,    0,,2011-05-06,US1KYSM0002
    0,    0,,2011-05-07,US1KYSM0002
    8,,,2011-05-08,US1KYSM0002
    0,    0,,2011-05-09,US1KYSM0002
    0,    0,,2011-05-10,US1KYSM0002
    0,    0,,2011-05-11,US1KYSM0002
    0,    0,,2011-05-12,US1KYSM0002
  132,,,2011-05-13,US1KYSM0002
   58,,,2011-05-14,US1KYSM0002
   13,,,2011-05-15,US1KYSM0002
   10,,,2011-05-16,US1KYSM0002
    3,,,2011-05-17,US1KYSM0002
    0,,,2011-05-18,US1KYSM0002
    0,    0,,2011-05-19,US1KYSM0002
    0,    0,,2011-05-20,US1KYSM0002
    0,    0,,2011-05-21,US1KYSM0002
   46,,,2011-05-22,US1KYSM0002
  163,,,2011-05-23,US1KYSM0002
   30,,,2011-05-24,US1KYSM0002
   94,,,2011-05-25,US1KYSM0002
  124,,,2011-05-26,US1KYSM0002
    0,    0,,2011-05-27,US1KYSM0002
    0,    0,,2011-05-28,US1KYSM0002
    0,    0,,2011-05-29,US1KYSM0002
    0,    0,,2011-05-30,US1KYSM0002
    0,    0,,2011-05-31,US1KYSM0002
    0,    0,,2011-06-01,US1KYSM0002
    0,    0,,2011-06-02,US1KYSM0002
    0,    0,,2011-06-03,US1KYSM0002
    0,    0,,2011-06-04,US1KYSM0002
    0,    0,,2011-06-05,US1KYSM0002
   46,,,2011-06-06,US1KYSM0002
    0,    0,,2011-06-07,US1KYSM0002
    0,    0,,2011-06-08,US1KYSM0002
    0,    0,,2011-06-09,US1KYSM0002
    0,    0,,2011-06-10,US1KYSM0002
    0,    0,,2011-06-11,US1KYSM0002
   38,,,2011-06-12,US1KYSM0002
    0,    0,,2011-06-13,US1KYSM0002
    0,    0,,2011-06-14,US1KYSM0002
,,,2011-06-16,US1KYSM0002
    5,,,2011-06-17,US1KYSM0002
    0,    0,,2011-06-18,US1KYSM0002
,,,2011-06-20,US1KYSM0002
    0,    0,,2011-06-21,US1KYSM0002
  224,,,2011-06-22,US1KYSM0002
    0,    0,,2011-06-23,US1KYSM0002
    0,    0,,2011-06-24,US1KYSM0002
    0,    0,,2011-06-25,US1KYSM0002
  323,,,2011-06-26,US1KYSM0002
   15,,,2011-06-27,US1KYSM0002
  201,,,2011-06-28,US1KYSM0002
    0,    0,,2011-06-29,US1KYSM0002
    0,    0,,2011-06-30,US1KYSM0002
    0,    0,,2011-07-01,US1KYSM0002
    0,    0,,2011-07-02,US1KYSM0002
    0,    0,,2011-07-03,US1KYSM0002
    5,,,2011-07-04,US1KYSM0002
    0,,,2011-07-05,US1KYSM0002
    0,    0,,2011-07-06,US1KYSM0002
    0,    0,,2011-07-07,US1KYSM0002
   10,,,2011-07-08,US1KYSM0002
    0,    0,,2011-07-09,US1KYSM0002
    0,    0,,2011-07-10,US1KYSM0002
    0,    0,,2011-07-11,US1KYSM0002
    0,    0,,2011-07-12,US1KYSM0002
    0,    0,,2011-07-13,US1KYSM0002
    0,    0,,2011-07-14,US1KYSM0002
    0,    0,,2011-07-15,US1KYSM0002
  178,,,2011-07-16,US1KYSM0002
    0,    0,,2011-07-17,US1KYSM0002
    0,    0,,2011-07-18,US1KYSM0002
    0,    0,,2011-07-19,US1KYSM0002
    0,    0,,2011-07-20,US1KYSM0002
    0,    0,,2011-07-21,US1KYSM0002
    0,    0,,2011-07-22,US1KYSM0002
    0,    0,,2011-07-23,US1KYSM0002
    0,    0,,2011-07-24,US1KYSM0002
    8,,,2011-07-25,US1KYSM0002
    0,    0,,2011-07-26,US1KYSM0002
    0,    0,,2011-07-27,US1KYSM0002
    0,    0,,2011-07-28,US1KYSM0002
    0,    0,,2011-07-29,US1KYSM0002
    0,    0,,2011-07-30,US1KYSM0002
  122,,,2011-07-31,US1KYSM0002
    3,    0,,2011-08-01,US1KYSM0002
    0,    0,,2011-08-02,US1KYSM0002
    0,    0,,2011-08-03,US1KYSM0002
    0,    0,,2011-08-04,US1KYSM0002
    0,    0,,2011-08-05,US1KYSM0002
    3,,,2011-08-06,US1KYSM0002
  109,,,2011-08-07,US1KYSM0002
    0,    0,,2011-08-08,US1KYSM0002
    0,    0,,2011-08-09,US1KYSM0002
    0,    0,,2011-08-10,US1KYSM0002
    0,    0,,2011-08-11,US1KYSM0002
    0,    0,,2011-08-12,US1KYSM0002
    0,    0,,2011-08-13,US1KYSM0002
   81,,,2011-08-14,US1KYSM0002
    0,    0,,2011-08-15,US1KYSM0002
    0,    0,,2011-08-16,US1KYSM0002
    0,    0,,2011-08-17,US1KYSM0002
    0,    0,,2011-08-18,US1KYSM0002
    0,    0,,2011-08-19,US1KYSM0002
    0,    0,,2011-08-20,US1KYSM0002
  135,,,2011-08-21,US1KYSM0002
    0,    0,,2011-08-22,US1KYSM0002
    0,    0,,2011-08-23,US1KYSM0002
    0,    0,,2011-08-24,US1KYSM0002
    0,    0,,2011-08-25,US1KYSM0002
    0,    0,,2011-08-26,US1KYSM0002
    0,    0,,2011-08-27,US1KYSM0002
    0,    0,,2011-08-28,US1KYSM0002
